"IDNO"	"KING"	"FAMI"	"ENGT"
868	"B"	"Apocynaceae"	"allamada ?"
869	"B"	"Apocynaceae"	"trumpet flower"
870	"B"	"Asclepiadaceae"	"Tonkin creeper"
872	"B"	"Gentianaceae"	"covessi bark"
876	"B"	"Moraceae"	"holy, mountain"
878	"B"	"Araceae"	"taro, giant"
879	"B"	"Araceae"	"Tonga creeper"
883	"B"	"Arecaceae"	"palm, butterfly"
884	"B"	"Arecaceae"	"palm, royal"
889	"B"	"Agavaceae"	"Adam's needle"
893	"Z"	"Columbidae"	"pigeon, Nicobar"
894	"Z"	"Fregatidae"	"frigatebird, lesser"
895	"Z"	"Ardeidae"	"heron, Chinese pond"
896	"Z"	"Ardeidae"	"egret, Pacific reef"
897	"Z"	"Trogonidae"	"trogon, orange-breasted"
898	"Z"	"Accipitridae"	"kite, Brahminy"
899	"Z"	"Accipitridae"	"eagle, white-bellied sea"
900	"Z"	"Scolopacidae"	"sandpiper, wood"
901	"Z"	"Laridae"	"tern, great crested"
902	"Z"	"Columbidae"	"pigeon, pied Imperial"
903	"Z"	"Coraciidae"	"dollarbird"
904	"Z"	"Cuculidae"	"coucal, lesser"
905	"Z"	"Alcedinidae"	"kingfisher, black-capped"
906	"Z"	"Dicruridae"	"drongo, greater racket-tailed"
907	"Z"	"Corvidae"	"crow, large-billed"
908	"Z"	"Turdidae"	"robin, magpie"
909	"Z"	"Turdidae"	"thrush, blue whistling"
910	"Z"	"Nectariniidae"	"sunbird, brown-throated"
911	"Z"	"Dicaeidae"	"flowerpecker, orange-bellied"
916	"B"	"Homobasidiae"	"mushroom, straw"
919	"B"	"Euphorbiaceae"	"rubber"
921	"B"	"Rubiaceae"	"gardenia"
924	"B"	"Asteraceae"	"chopsuay green"
925	"B"	"Asteraceae"	"chrysanthemum"
926	"B"	"Asteraceae"	"dahlia"
928	"Z"	"Timaliidae"	"hwamei"
929	"B"	"Cannaceae"	"canna"
930	"B"	"Marantaceae"	"arrow root, Bermuda"
933	"B"	"Caesalpiniaceae"	"orchid tree"
935	"B"	"Caesalpiniaceae"	"bauhinia, pink"
936	"B"	"Mimosaceae"	"sensitive plant"
937	"B"	"Mimosaceae"	"wattle"
940	"B"	"Proteaceae"	"silk-oak"
942	"B"	"Meliaceae"	"langsat"
943	"B"	"Magnoliaceae"	"champ"
944	"B"	"Rhizophoraceae"	"mangrove, Asiatic"
945	"B"	"Ebenaceae"	"kaki"
946	"B"	"Ebenaceae"	"ebony"
948	"B"	"Papilionaceae"	"quickstep"
949	"B"	"Bambusoideae"	"bamboo, feathery"
950	"B"	"Bambusoideae"	"bamboo, thorny"
951	"B"	"Fagaceae"	"oak"
952	"B"	"Fagaceae"	"oak, woolly"
953	"B"	"Myricaceae"	"myrtle, box"
955	"B"	"Caesalpiniaceae"	"cassia, Siamese"
957	"B"	"Apocynaceae"	"frangipani"
959	"B"	"Asteraceae"	"ironweed, common"
961	"B"	"Asteraceae"	"ageratum"
962	"B"	"Asteraceae"	"gynura, scrambling"
965	"B"	"Asteraceae"	"artichok, globe"
968	"B"	"Asteraceae"	"cosmos, yellow"
969	"B"	"Asteraceae"	"coreopsis"
970	"B"	"Asteraceae"	"coreopsis"
971	"B"	"Portulacaceae"	"portucala"
972	"B"	"Portulacaceae"	"purslane"
977	"B"	"Papilionaceae"	"pea, pigeon"
978	"B"	"Rosaceae"	"quince"
979	"B"	"Saxifragaceae"	"hydrangea, panicle"
980	"B"	"Saxifragaceae"	"hydrangea"
981	"B"	"Pinaceae"	"spruce, Colorado"
982	"B"	"Pinaceae"	"spruce, white"
983	"B"	"Pinaceae"	"spruce, black"
984	"B"	"Pinaceae"	"pine, Austrian"
985	"B"	"Pinaceae"	"pine, Eastern white"
986	"B"	"Pinaceae"	"pine, mugho"
987	"B"	"Pinaceae"	"pine, creeping"
988	"B"	"Anacardiaceae"	"sumac, staghorn"
989	"B"	"Anacardiaceae"	"sumach, smooth"
990	"B"	"Pandanaceae"	"screw pine"
991	"B"	"Rosaceae"	"rose, cabbage"
992	"B"	"Rosaceae"	"rose, Austrian brier"
993	"B"	"Rosaceae"	"rose, rugosa"
994	"B"	"Rosaceae"	"rose, dog"
